path,distance,scale,conponte,metro,puntoaccesso
"['punto_accesso_0', 'punto_strada_538', 'punto_strada_537', 'punto_strada_535', 'punto_strada_505', 'punto_strada_507', 'punto_strada_510', 'punto_strada_512', 'punto_strada_514', 'punto_strada_407', 'punto_strada_405', 'punto_strada_403', 'punto_strada_402', 'punto_strada_307', 'punto_strada_306', 'punto_strada_305', 'punto_strada_303', 'punto_strada_301', 'punto_strada_291', 'punto_strada_290', 'punto_strada_289', 'punto_strada_286', 'punto_strada_245', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1126.7436193701435,yes,yes,concadoro,punto_accesso_0
"['punto_accesso_1', 'punto_strada_519', 'punto_strada_517', 'punto_strada_407', 'punto_strada_405', 'punto_strada_403', 'punto_strada_402', 'punto_strada_307', 'punto_strada_306', 'punto_strada_305', 'punto_strada_303', 'punto_strada_301', 'punto_strada_291', 'punto_strada_290', 'punto_strada_289', 'punto_strada_286', 'punto_strada_245', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",985.2760393646057,yes,yes,concadoro,punto_accesso_1
"['punto_accesso_2', 'punto_strada_535', 'punto_strada_505', 'punto_strada_507', 'punto_strada_510', 'punto_strada_512', 'punto_strada_514', 'punto_strada_407', 'punto_strada_405', 'punto_strada_403', 'punto_strada_402', 'punto_strada_307', 'punto_strada_306', 'punto_strada_305', 'punto_strada_303', 'punto_strada_301', 'punto_strada_291', 'punto_strada_290', 'punto_strada_289', 'punto_strada_286', 'punto_strada_245', 'punto_strada_169', 'punto_strada_167', 'punto_strada_165', 'punto_strada_164', 'punto_strada_163', 'punto_strada_161', 'punto_strada_159', 'punto_strada_158', 'punto_strada_156', 'punto_strada_155', 'punto_strada_217', 'punto_strada_1081', 'punto_strada_961', 'punto_strada_962', 'punto_strada_1078', 'punto_strada_1076', 'punto_strada_1075', 'punto_strada_1074', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",1053.061405713499,yes,yes,concadoro,punto_accesso_2
"['punto_accesso_3', 'punto_strada_340', 'punto_strada_341', 'punto_strada_342', 'punto_strada_318', 'punto_strada_319', 'punto_strada_320', 'punto_strada_321', 'punto_strada_322', 'punto_strada_323', 'punto_strada_261', 'punto_strada_259', 'punto_strada_256', 'punto_strada_254', 'punto_strada_1065', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",748.8070916781767,yes,yes,concadoro,punto_accesso_3
"['punto_accesso_4', 'punto_strada_137', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",647.5467364538831,yes,yes,concadoro,punto_accesso_4
"['punto_accesso_5', 'punto_strada_129', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",694.7243029338039,yes,yes,concadoro,punto_accesso_5
"['punto_accesso_6', 'punto_strada_338', 'punto_strada_339', 'punto_strada_341', 'punto_strada_342', 'punto_strada_318', 'punto_strada_319', 'punto_strada_320', 'punto_strada_321', 'punto_strada_322', 'punto_strada_323', 'punto_strada_261', 'punto_strada_259', 'punto_strada_256', 'punto_strada_254', 'punto_strada_1065', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",774.7741239738722,yes,yes,concadoro,punto_accesso_6
"['punto_accesso_7', 'punto_strada_333', 'punto_strada_331', 'punto_strada_330', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",766.0229616118728,yes,yes,concadoro,punto_accesso_7
"['punto_accesso_8', 'punto_strada_141', 'punto_strada_138', 'punto_strada_137', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",680.2815766107012,yes,yes,concadoro,punto_accesso_8
"['punto_accesso_9', 'punto_strada_459', 'punto_strada_422', 'punto_strada_421', 'punto_strada_419', 'punto_strada_478', 'punto_strada_994', 'punto_strada_996', 'punto_strada_125', 'punto_strada_128', 'punto_strada_130', 'punto_strada_132', 'punto_strada_134', 'punto_strada_32', 'punto_strada_31', 'punto_strada_30', 'punto_strada_29', 'punto_strada_28', 'punto_strada_1066', 'punto_strada_1064', 'punto_strada_1063', 'punto_strada_26', 'punto_strada_1059', 'punto_strada_25', 'punto_strada_1056', 'punto_strada_1054', 'punto_strada_195', 'punto_strada_23', 'punto_strada_196', 'punto_strada_22', 'punto_strada_21', 'punto_strada_20', 'punto_strada_19', 'punto_strada_18', 'punto_strada_17', 'punto_strada_1073', 'punto_strada_16', 'punto_strada_1083', 'punto_strada_15', 'punto_strada_1085', 'punto_strada_14', 'punto_ponte_1087', 'punto_ponte_66', 'punto_strada_12', 'punto_ponte_1090', 'punto_ponte_11', 'punto_ponte_10', 'punto_strada_1094', 'punto_strada_62', 'punto_strada_61', 'punto_strada_7', 'punto_strada_59', 'punto_strada_5', 'punto_strada_4', 'punto_strada_3', 'punto_strada_2', 'punto_strada_0', 'metro_concadoro']",932.8678054714599,yes,yes,concadoro,punto_accesso_9
